control
([10, 'mse', 10, 2, True, 1], 0.0013799040467323178)
([10, 'mse', 10, 2, True, 10], 0.0041650108120032713)
([10, 'mse', 10, 2, True, 50], 0.016487794100808435)
([10, 'mse', 10, 2, False, 1], 0.0014730861837324036)
([10, 'mse', 10, 2, False, 10], 0.0039439378642901531)
([10, 'mse', 10, 2, False, 50], 0.016197018806012726)
([10, 'mse', 10, 10, True, 1], 0.001816485290215323)
([10, 'mse', 10, 10, True, 10], 0.0044402719156009492)
([10, 'mse', 10, 10, True, 50], 0.018034911713728362)
([10, 'mse', 10, 10, False, 1], 0.0017525542157443025)
([10, 'mse', 10, 10, False, 10], 0.0039437179681051397)
([10, 'mse', 10, 10, False, 50], 0.016197018806012733)
([10, 'mse', 10, 50, True, 1], 0.0091006194862652216)
([10, 'mse', 10, 50, True, 10], 0.0091738494139598746)
([10, 'mse', 10, 50, True, 50], 0.018518859650630611)
([10, 'mse', 10, 50, False, 1], 0.0092861244988656534)
([10, 'mse', 10, 50, False, 10], 0.0092526686504719215)
([10, 'mse', 10, 50, False, 50], 0.016197018806012733)
([10, 'mse', 20, 2, True, 1], 0.0016619587162977124)
([10, 'mse', 20, 2, True, 10], 0.0039217474891671406)
([10, 'mse', 20, 2, True, 50], 0.017182331490124998)
([10, 'mse', 20, 2, False, 1], 0.0016231971248963672)
([10, 'mse', 20, 2, False, 10], 0.003943058279550069)
([10, 'mse', 20, 2, False, 50], 0.016197018806012722)
([10, 'mse', 20, 10, True, 1], 0.0017834643375997568)
([10, 'mse', 20, 10, True, 10], 0.0042007207382370026)
([10, 'mse', 20, 10, True, 50], 0.017955287214454264)
([10, 'mse', 20, 10, False, 1], 0.0017525542157443025)
([10, 'mse', 20, 10, False, 10], 0.0039437179681051241)
([10, 'mse', 20, 10, False, 50], 0.016197018806012733)
([10, 'mse', 20, 50, True, 1], 0.0092698853958478131)
([10, 'mse', 20, 50, True, 10], 0.0088312087937976805)
([10, 'mse', 20, 50, True, 50], 0.017675334185059937)
([10, 'mse', 20, 50, False, 1], 0.0092861244988656534)
([10, 'mse', 20, 50, False, 10], 0.0092526686504719059)
([10, 'mse', 20, 50, False, 50], 0.016197018806012722)
([10, 'mse', None, 2, True, 1], 0.0015070341646365336)
([10, 'mse', None, 2, True, 10], 0.0049737641455363151)
([10, 'mse', None, 2, True, 50], 0.017232566873849869)
([10, 'mse', None, 2, False, 1], 0.0013660546330082624)
([10, 'mse', None, 2, False, 10], 0.0039434980719201098)
([10, 'mse', None, 2, False, 50], 0.016197018806012715)
([10, 'mse', None, 10, True, 1], 0.0017457614954772857)
([10, 'mse', None, 10, True, 10], 0.0039724419635754704)
([10, 'mse', None, 10, True, 50], 0.016841293979029056)
([10, 'mse', None, 10, False, 1], 0.0017525542157443025)
([10, 'mse', None, 10, False, 10], 0.0039439378642901583)
([10, 'mse', None, 10, False, 50], 0.016197018806012722)
([10, 'mse', None, 50, True, 1], 0.0089117663008538885)
([10, 'mse', None, 50, True, 10], 0.0085674346497820776)
([10, 'mse', None, 50, True, 50], 0.018262879001286259)
([10, 'mse', None, 50, False, 1], 0.0092861244988656291)
([10, 'mse', None, 50, False, 10], 0.0092526686504719215)
([10, 'mse', None, 50, False, 50], 0.016197018806012729)
([10, 'mae', 10, 2, True, 1], 0.0012116070001527706)
([10, 'mae', 10, 2, True, 10], 0.0054883181324559376)
([10, 'mae', 10, 2, True, 50], 0.020545727315690276)
([10, 'mae', 10, 2, False, 1], 0.0012447900413310978)
([10, 'mae', 10, 2, False, 10], 0.0057343129296145807)
([10, 'mae', 10, 2, False, 50], 0.014011996370374194)
([10, 'mae', 10, 10, True, 1], 0.0015643571924889839)
([10, 'mae', 10, 10, True, 10], 0.0050025394700730329)
([10, 'mae', 10, 10, True, 50], 0.019189272603742823)
([10, 'mae', 10, 10, False, 1], 0.0015162091203174903)
([10, 'mae', 10, 10, False, 10], 0.0057343129296145807)
([10, 'mae', 10, 10, False, 50], 0.014011996370374194)
([10, 'mae', 10, 50, True, 1], 0.0080327027360457669)
([10, 'mae', 10, 50, True, 10], 0.0079290647959710057)
