control
([10, 'mse', 10, 2, True, 1], 0.0017449469499030178)
([10, 'mse', 10, 2, True, 10], 0.007261265555989733)
([10, 'mse', 10, 2, True, 50], 0.043042172269493716)
([10, 'mse', 10, 2, False, 1], 0.001470466581006365)
([10, 'mse', 10, 2, False, 10], 0.006737567358492453)
([10, 'mse', 10, 2, False, 50], 0.03909860498750017)
([10, 'mse', 10, 10, True, 1], 0.0032961792455635224)
([10, 'mse', 10, 10, True, 10], 0.006579072491127128)
([10, 'mse', 10, 10, True, 50], 0.044440730000456015)
([10, 'mse', 10, 10, False, 1], 0.0042971853971176584)
([10, 'mse', 10, 10, False, 10], 0.006737567358492468)
([10, 'mse', 10, 10, False, 50], 0.03909860498750017)
([10, 'mse', 10, 50, True, 1], 0.022236187103584028)
([10, 'mse', 10, 50, True, 10], 0.023463301164996522)
([10, 'mse', 10, 50, True, 50], 0.04560984624106302)
([10, 'mse', 10, 50, False, 1], 0.0202172238829312)
([10, 'mse', 10, 50, False, 10], 0.020217223882931224)
([10, 'mse', 10, 50, False, 50], 0.03909860498750018)
([10, 'mse', 20, 2, True, 1], 0.001987971305867303)
([10, 'mse', 20, 2, True, 10], 0.007542184842416644)
([10, 'mse', 20, 2, True, 50], 0.04276680392568047)
([10, 'mse', 20, 2, False, 1], 0.0014136525414718453)
([10, 'mse', 20, 2, False, 10], 0.006737567358492453)
([10, 'mse', 20, 2, False, 50], 0.039098604987500174)
([10, 'mse', 20, 10, True, 1], 0.0032280572256253)
([10, 'mse', 20, 10, True, 10], 0.005664386494985473)
([10, 'mse', 20, 10, True, 50], 0.04261672387375949)
([10, 'mse', 20, 10, False, 1], 0.004297185397117661)
([10, 'mse', 20, 10, False, 10], 0.00673756735849246)
([10, 'mse', 20, 10, False, 50], 0.03909860498750017)
([10, 'mse', 20, 50, True, 1], 0.024190405350959808)
([10, 'mse', 20, 50, True, 10], 0.023976078964452738)
([10, 'mse', 20, 50, True, 50], 0.05249625748732302)
([10, 'mse', 20, 50, False, 1], 0.020217223882931207)
([10, 'mse', 20, 50, False, 10], 0.020217223882931214)
([10, 'mse', 20, 50, False, 50], 0.03909860498750017)
([10, 'mse', None, 2, True, 1], 0.001574428222448011)
([10, 'mse', None, 2, True, 10], 0.006113241325647761)
([10, 'mse', None, 2, True, 50], 0.044836489687103534)
([10, 'mse', None, 2, False, 1], 0.0013825612168118034)
([10, 'mse', None, 2, False, 10], 0.006737567358492461)
([10, 'mse', None, 2, False, 50], 0.03909860498750017)
([10, 'mse', None, 10, True, 1], 0.0029451936064503496)
([10, 'mse', None, 10, True, 10], 0.007944437006922732)
([10, 'mse', None, 10, True, 50], 0.04255594056069498)
([10, 'mse', None, 10, False, 1], 0.004297185397117657)
([10, 'mse', None, 10, False, 10], 0.006737567358492453)
([10, 'mse', None, 10, False, 50], 0.039098604987500174)
([10, 'mse', None, 50, True, 1], 0.02129044957868794)
([10, 'mse', None, 50, True, 10], 0.0221194587470916)
([10, 'mse', None, 50, True, 50], 0.043177111873054015)
([10, 'mse', None, 50, False, 1], 0.020217223882931217)
([10, 'mse', None, 50, False, 10], 0.020217223882931224)
([10, 'mse', None, 50, False, 50], 0.03909860498750017)
([10, 'mae', 10, 2, True, 1], 0.0020211618882360937)
([10, 'mae', 10, 2, True, 10], 0.006935335883546235)
([10, 'mae', 10, 2, True, 50], 0.037062876496707926)
([10, 'mae', 10, 2, False, 1], 0.0013975697079613308)
([10, 'mae', 10, 2, False, 10], 0.006352925947945045)
([10, 'mae', 10, 2, False, 50], 0.034212828714001664)
([10, 'mae', 10, 10, True, 1], 0.003872552251918241)
([10, 'mae', 10, 10, True, 10], 0.006895782280796939)
([10, 'mae', 10, 10, True, 50], 0.040488363670898524)
